67,"AYPY","large_airport","Port Moresby Jacksons International Airport",-9.443380355834961,147.22000122070312,146,"OC","PG","PG-NCD","Port Moresby","yes","AYPY","POM",,,"https://en.wikipedia.org/wiki/Jacksons_International_Airport",
123,"BIKF","large_airport","Keflavik International Airport",63.985001,-22.6056,171,"EU","IS","IS-2","Reykjavík","yes","BIKF","KEF",,"https://www.isavia.is/en/keflavik-airport","https://en.wikipedia.org/wiki/Keflav%C3%ADk_International_Airport","Keflavik Naval Air Station,REK"
4614,"BKPR","large_airport","Priština International Airport",42.5728,21.035801,1789,"EU","XK","XK-01","Prishtina","yes","BKPR","PRN",,"http://www.airportpristina.com/","https://en.wikipedia.org/wiki/Pristina_International_Airport","LYPR, Pristina, Slatina Air Base"
329666,"CN-0083","large_airport","Guodu air base",36.001741,117.63201,,"AS","CN","CN-U-A",,"no",,,,,,
1717,"CYEG","large_airport","Edmonton International Airport",53.309700012200004,-113.580001831,2373,"NA","CA","CA-AB","Edmonton","yes","CYEG","YEG","CYEG","http://www.edmontonairports.com/","https://en.wikipedia.org/wiki/Edmonton_International_Airport","YEA"
1770,"CYHZ","large_airport","Halifax / Stanfield International Airport",44.8807983398,-63.5085983276,477,"NA","CA","CA-NS","Halifax","yes","CYHZ","YHZ",,"http://www.hiaa.ca/","https://en.wikipedia.org/wiki/Halifax_International_Airport","Robert L. Stanfield International Airport"
1840,"CYOW","large_airport","Ottawa Macdonald-Cartier International Airport",45.3224983215332,-75.66919708251953,374,"NA","CA","CA-ON","Ottawa","yes","CYOW","YOW","YOW","http://www.ottawa-airport.ca/","https://en.wikipedia.org/wiki/Ottawa_Macdonald-Cartier_International_Airport","Uplands, UUP, CUUP"
1928,"CYUL","large_airport","Montreal / Pierre Elliott Trudeau International Airport",45.4706001282,-73.7407989502,118,"NA","CA","CA-QC","Montréal","yes","CYUL","YUL","YUL","http://www.admtl.com/passager/Home.aspx","https://en.wikipedia.org/wiki/Montr%C3%A9al-Pierre_Elliott_Trudeau_International_Airport","YMQ, Dorval Airport"
1941,"CYVR","large_airport","Vancouver International Airport",49.193901062,-123.183998108,14,"NA","CA","CA-BC","Vancouver","yes","CYVR","YVR",,"http://www.yvr.ca/","https://en.wikipedia.org/wiki/Vancouver_International_Airport",
1946,"CYWG","large_airport","Winnipeg / James Armstrong Richardson International Airport",49.909999847399995,-97.2398986816,783,"NA","CA","CA-MB","Winnipeg","yes","CYWG","YWG","YWG","http://www.waa.ca/","https://en.wikipedia.org/wiki/Winnipeg_James_Armstrong_Richardson_International_Airport","CFB Winnipeg"
1973,"CYYC","large_airport","Calgary International Airport",51.113899231,-114.019996643,3557,"NA","CA","CA-AB","Calgary","yes","CYYC","YYC",,"http://www.calgaryairport.com/","https://en.wikipedia.org/wiki/Calgary_International_Airport","McCall Field"
1979,"CYYJ","large_airport","Victoria International Airport",48.646900177,-123.426002502,63,"NA","CA","CA-BC","Victoria","yes","CYYJ","YYJ",,"http://www.victoriaairport.com/","https://en.wikipedia.org/wiki/Victoria_International_Airport",
1986,"CYYT","large_airport","St. John's International Airport",47.618598938,-52.7518997192,461,"NA","CA","CA-NL","St. John's","yes","CYYT","YYT",,"http://www.stjohnsairport.com/","https://en.wikipedia.org/wiki/St._John's_International_Airport",
1990,"CYYZ","large_airport","Lester B. Pearson International Airport",43.6772003174,-79.63059997559999,569,"NA","CA","CA-ON","Toronto","yes","CYYZ","YYZ","YYZ","http://www.gtaa.com/","https://en.wikipedia.org/wiki/Toronto_Pearson_International_Airport","YTO, Toronto International Airport, Malton"
2050,"DAAG","large_airport","Houari Boumediene Airport",36.691002,3.21541,82,"AF","DZ","DZ-16","Algiers","yes","DAAG","ALG",,,"https://en.wikipedia.org/wiki/Houari_Boumedienne_Airport",
337335,"DE-0442","large_airport","Spam",-0.1,0.1,-35,"EU","DE","DE-NW","All","no",,,,,,
2088,"DFFD","large_airport","Ouagadougou Airport",12.3532,-1.51242,1037,"AF","BF","BF-KAD","Ouagadougou","yes","DFFD","OUA",,,"https://en.wikipedia.org/wiki/Ouagadougou_Airport",
2090,"DGAA","large_airport","Kotoka International Airport",5.605189800262451,-0.16678600013256073,205,"AF","GH","GH-AA","Accra","yes","DGAA","ACC",,,"https://en.wikipedia.org/wiki/Kotoka_International_Airport",
2104,"DNAA","large_airport","Nnamdi Azikiwe International Airport",9.006790161132812,7.263169765472412,1123,"AF","NG","NG-FC","Abuja","yes","DNAA","ABV",,"http://www.faannigeria.org/nigeria-airport.php?airport=3","https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport",
309668,"DNAI","large_airport","Akwa Ibom International Airport",4.8725,8.093,170,"AF","NG","NG-AK","Uyo","yes","DNAI","QUO",,"http://www.ibomairport.com.ng/","https://en.wikipedia.org/wiki/Akwa_Ibom_Airport",
2115,"DNKN","large_airport","Mallam Aminu International Airport",12.0476,8.52462,1562,"AF","NG","NG-KN","Kano","yes","DNKN","KAN",,"http://www.faannigeria.org/nigeria-airport.php?airport=2","https://en.wikipedia.org/wiki/Mallam_Aminu_Kano_International_Airport",
2118,"DNMM","large_airport","Murtala Muhammed International Airport",6.5773701667785645,3.321160078048706,135,"AF","NG","NG-LA","Lagos","yes","DNMM","LOS",,"http://www.faannigeria.org/nigeria-airport.php?airport=1","https://en.wikipedia.org/wiki/Murtala_Mohammed_International_Airport",
2125,"DRRN","large_airport","Diori Hamani International Airport",13.4815,2.18361,732,"AF","NE","NE-8","Niamey","yes","DRRN","NIM",,,"https://en.wikipedia.org/wiki/Diori_Hamani_International_Airport",
2133,"DTTA","large_airport","Tunis Carthage International Airport",36.85100173950195,10.22719955444336,22,"AF","TN","TN-11","Tunis","yes","DTTA","TUN",,"http://www.oaca.nat.tn/english/div_horizontal_tunis_airport_eng.htm","https://en.wikipedia.org/wiki/Tunis-Carthage_International_Airport","Aéroport international de Tunis-Carthage, مطار تونس قرطاج الدولي"
2155,"EBBR","large_airport","Brussels Airport",50.901401519800004,4.48443984985,184,"EU","BE","BE-BRU","Brussels","yes","EBBR","BRU",,"http://www.brusselsairport.be/en/","https://en.wikipedia.org/wiki/Brussels_Airport",
2157,"EBCI","large_airport","Brussels South Charleroi Airport",50.459202,4.45382,614,"EU","BE","BE-WHT","Brussels","yes","EBCI","CRL",,"http://www.charleroi-airport.com/doc.php?nd=o29&tid=29&lg=2&docid=1&site=1","https://en.wikipedia.org/wiki/Brussels_South_Charleroi_Airport","Gosselies Airport"
2162,"EBLG","large_airport","Liège Airport",50.63740158081055,5.443220138549805,659,"EU","BE","BE-WLG","Liège","yes","EBLG","LGG",,"http://www.liegeairport.be/","https://en.wikipedia.org/wiki/Li%C3%A8ge_Airport",
301881,"EDDB","large_airport","Berlin Brandenburg Airport",52.351389,13.493889,157,"EU","DE","DE-BR","Berlin","yes","EDDB","BER",,"https://ber.berlin-airport.de/","https://en.wikipedia.org/wiki/Berlin_Brandenburg_Airport",
2210,"EDDC","large_airport","Dresden Airport",51.1328010559082,13.767200469970703,755,"EU","DE","DE-SN","Dresden","yes","EDDC","DRS",,"http://www.dresden-airport.de/en/index.html","https://en.wikipedia.org/wiki/Dresden_Airport",
2212,"EDDF","large_airport","Frankfurt am Main Airport",50.033333,8.570556,364,"EU","DE","DE-HE","Frankfurt am Main","yes","EDDF","FRA",,"http://www.frankfurt-airport.de/","https://en.wikipedia.org/wiki/Frankfurt_Airport","EDAF, Rhein-Main Air Base"
2213,"EDDG","large_airport","Münster Osnabrück Airport",52.134601593,7.68483018875,160,"EU","DE","DE-NW","Münster","yes","EDDG","FMO",,,"https://en.wikipedia.org/wiki/M%C3%BCnster_Osnabr%C3%BCck_International_Airport",
2214,"EDDH","large_airport","Hamburg Airport",53.630401611328,9.9882297515869,53,"EU","DE","DE-HH","Hamburg","yes","EDDH","HAM",,"https://www.hamburg-airport.de/en/","https://en.wikipedia.org/wiki/Hamburg_Airport",
2216,"EDDK","large_airport","Cologne Bonn Airport",50.8658981323,7.1427397728,302,"EU","DE","DE-NW","Cologne","yes","EDDK","CGN",,"http://www.koeln-bonn-airport.de/en/","https://en.wikipedia.org/wiki/Cologne_Bonn_Airport","Köln"
